student_ic,age,famsize,Pstatus,internet,failures,activities,romantic_relationship,family_relationship,freetime,socialising,Weekday_alcohol,Weekend_alcohol,absence,math_avg,por_avg,alc_avg
24,15,GT3,T,yes,0,yes,no,4,5,5,1,3,4,17.0,13.333333333333334,2.0
25,15,GT3,T,yes,0,yes,yes,4,3,3,1,1,0,3.6666666666666665,14.0,1.0
26,15,GT3,T,yes,0,no,no,3,3,4,2,3,0,9.666666666666666,12.333333333333334,2.5
27,15,GT3,T,yes,2,no,yes,4,4,4,2,3,6,8.0,11.666666666666666,2.5
28,15,GT3,T,yes,1,yes,no,4,4,4,1,1,2,7.0,12.333333333333334,1.0
29,15,GT3,T,yes,0,no,no,3,3,3,1,2,0,9.0,14.0,1.5
30,15,GT3,T,yes,0,yes,no,4,2,2,1,1,2,10.333333333333334,13.0,1.0
31,15,GT3,T,yes,0,yes,no,4,3,2,1,1,0,15.666666666666666,13.666666666666666,1.0
32,15,LE3,A,yes,0,no,no,5,3,4,4,4,6,12.0,12.666666666666666,4.0
33,15,LE3,A,yes,0,yes,yes,5,3,2,1,1,0,9.333333333333334,10.666666666666666,1.0
34,15,LE3,A,yes,0,yes,yes,5,2,2,1,1,8,7.333333333333333,10.666666666666666,1.0
35,15,LE3,T,yes,3,no,no,4,3,2,2,3,10,8.333333333333334,12.333333333333334,2.5
36,15,LE3,T,yes,0,no,no,4,4,4,1,1,10,6.333333333333333,11.333333333333334,1.0
37,15,LE3,T,yes,0,no,no,4,3,3,1,1,2,12.333333333333334,15.333333333333334,1.0
38,15,LE3,T,yes,0,yes,yes,4,4,4,2,4,0,10.0,12.333333333333334,3.0
39,16,GT3,T,yes,0,yes,no,5,3,5,1,1,6,10.333333333333334,13.0,1.0
40,16,GT3,T,yes,1,yes,no,4,1,2,1,1,0,9.0,11.0,1.0
41,16,GT3,T,no,0,yes,no,2,4,4,2,3,6,10.666666666666666,16.333333333333332,2.5
42,16,GT3,A,yes,0,yes,yes,5,3,4,1,1,8,9.0,12.333333333333334,1.0
43,16,GT3,A,yes,0,no,no,3,3,4,1,1,0,13.0,13.0,1.0
44,16,GT3,A,yes,3,no,no,2,3,3,2,2,5,7.0,11.333333333333334,2.0
45,16,GT3,A,yes,2,yes,yes,4,3,2,1,1,0,1.3333333333333333,9.333333333333334,1.0
46,16,GT3,A,yes,0,no,no,3,2,1,1,4,16,11.333333333333334,14.0,2.5
47,16,GT3,T,no,0,no,no,4,3,2,1,4,6,9.333333333333334,12.666666666666666,2.5
48,16,GT3,T,yes,0,yes,yes,5,5,5,5,5,6,9.666666666666666,12.0,5.0
49,16,GT3,T,yes,3,yes,yes,4,3,5,1,1,0,5.0,13.333333333333334,1.0
50,16,GT3,T,no,0,no,yes,4,3,5,1,1,2,9.0,12.333333333333334,1.0
51,16,GT3,T,yes,0,no,yes,4,5,2,1,1,20,12.333333333333334,9.666666666666666,1.0
52,16,GT3,T,yes,1,yes,no,3,1,2,1,1,6,12.0,9.333333333333334,1.0
53,16,GT3,T,yes,0,no,no,5,1,5,1,1,0,4.333333333333333,12.333333333333334,1.0
54,16,GT3,T,yes,0,no,yes,5,4,4,1,1,0,7.666666666666667,11.333333333333334,1.0
55,16,GT3,T,yes,0,no,yes,5,2,3,1,3,0,11.0,13.0,2.0
56,16,GT3,T,yes,0,yes,no,3,4,4,1,4,2,12.333333333333334,13.0,2.5
57,16,GT3,T,yes,2,no,no,1,2,2,1,3,14,7.666666666666667,11.0,2.0
58,16,GT3,T,no,0,yes,no,4,4,3,1,3,6,9.333333333333334,11.666666666666666,2.0
59,16,GT3,T,yes,0,no,no,4,3,3,1,1,10,12.0,12.333333333333334,1.0
60,16,GT3,T,yes,0,no,no,2,3,1,1,1,2,16.333333333333332,13.333333333333334,1.0
61,16,GT3,T,yes,0,no,no,4,3,3,1,2,4,6.666666666666667,9.666666666666666,1.5
62,16,GT3,T,yes,0,no,no,1,2,2,1,2,14,12.333333333333334,15.0,1.5
63,16,GT3,T,no,0,no,no,4,3,2,1,2,4,8.666666666666666,12.333333333333334,1.5
64,16,GT3,T,yes,0,no,yes,4,3,3,1,3,0,7.333333333333333,10.333333333333334,2.0
65,16,GT3,T,no,0,yes,no,5,3,2,1,1,4,9.333333333333334,13.666666666666666,1.0
66,16,GT3,T,yes,0,yes,no,4,3,3,2,4,54,11.333333333333334,11.0,3.0
67,16,GT3,T,yes,0,no,no,2,4,3,1,2,12,5.0,11.333333333333334,1.5
68,16,GT3,T,yes,0,no,yes,4,2,3,1,1,0,15.0,17.333333333333332,1.0
69,16,GT3,T,yes,0,no,no,4,2,3,1,1,2,15.666666666666666,15.666666666666666,1.0
70,16,GT3,T,yes,0,yes,no,5,3,3,1,1,0,10.333333333333334,13.666666666666666,1.0
71,16,GT3,T,yes,0,yes,no,4,3,5,1,5,2,16.0,14.333333333333334,3.0
72,16,GT3,T,yes,0,no,no,5,3,5,1,1,0,8.0,12.666666666666666,1.0
73,16,GT3,T,yes,0,yes,no,3,4,4,2,4,2,9.333333333333334,13.333333333333334,3.0
74,16,GT3,T,yes,0,yes,yes,1,3,2,1,1,10,12.0,14.666666666666666,1.0
75,16,GT3,T,yes,0,no,yes,4,4,2,1,1,0,14.0,16.333333333333332,1.0
76,16,GT3,T,yes,0,no,no,4,4,4,1,2,4,14.0,17.0,1.5
77,16,GT3,T,yes,0,yes,no,5,3,4,1,2,6,13.0,12.666666666666666,1.5
78,16,GT3,T,yes,0,yes,no,3,2,3,1,2,6,13.666666666666666,13.333333333333334,1.5
79,16,GT3,T,yes,0,yes,no,5,3,2,1,1,0,13.333333333333334,15.666666666666666,1.0
80,16,LE3,A,yes,0,no,no,2,3,5,1,4,12,11.333333333333334,12.666666666666666,2.5
81,16,LE3,T,yes,0,no,no,3,4,4,3,3,2,13.666666666666666,10.666666666666666,3.0
82,16,LE3,T,yes,0,yes,no,4,4,3,1,1,4,9.0,12.0,1.0
83,16,LE3,T,no,0,no,no,4,3,4,1,2,4,7.0,11.666666666666666,1.5
84,16,LE3,T,yes,1,yes,no,4,3,3,2,2,14,9.666666666666666,10.666666666666666,2.0
85,16,LE3,T,yes,1,yes,yes,3,3,3,1,2,25,9.333333333333334,10.666666666666666,1.5
86,16,LE3,T,yes,0,no,no,4,3,3,2,3,2,12.666666666666666,13.333333333333334,2.5
87,16,LE3,T,yes,0,yes,yes,4,2,2,1,2,2,13.0,13.0,1.5
88,16,LE3,T,no,0,no,no,3,3,3,2,3,4,6.333333333333333,12.333333333333334,2.5
89,16,LE3,T,yes,0,yes,no,4,4,5,1,1,4,10.0,14.333333333333334,1.0
90,16,LE3,T,yes,0,yes,no,5,4,3,1,2,2,15.333333333333334,15.666666666666666,1.5
91,16,LE3,T,yes,0,yes,yes,5,4,5,1,1,4,15.0,14.666666666666666,1.0
92,16,LE3,T,yes,0,no,no,4,5,2,1,2,0,9.333333333333334,10.666666666666666,1.5
93,17,GT3,A,yes,0,no,no,4,3,3,2,3,4,9.666666666666666,14.666666666666666,2.5
94,17,GT3,T,no,0,yes,no,2,1,1,1,1,2,11.666666666666666,13.0,1.0
95,17,GT3,T,yes,0,yes,no,4,2,5,1,2,2,6.0,10.666666666666666,1.5
96,17,GT3,T,yes,0,no,no,5,3,2,1,2,18,6.333333333333333,13.0,1.5
97,17,GT3,T,yes,0,no,yes,4,4,3,1,1,7,13.333333333333334,15.0,1.0
98,17,GT3,T,yes,0,yes,no,4,3,4,2,5,0,10.666666666666666,15.666666666666666,3.5
99,17,GT3,T,yes,0,yes,yes,4,4,2,1,1,6,7.0,11.666666666666666,1.0
100,17,LE3,T,yes,0,yes,no,3,3,2,2,2,3,11.0,10.666666666666666,2.0
101,17,LE3,T,no,0,no,no,3,1,2,1,1,6,18.0,18.666666666666668,1.0
102,17,LE3,T,no,0,no,no,5,2,1,1,2,12,9.333333333333334,11.333333333333334,1.5
103,17,GT3,A,yes,0,yes,yes,3,2,3,1,2,10,11.333333333333334,15.333333333333334,1.5
104,17,GT3,A,yes,1,no,yes,3,3,1,1,2,0,5.666666666666667,12.0,1.5
105,17,GT3,A,yes,0,no,yes,3,3,3,1,3,6,8.0,13.0,2.0
106,17,GT3,A,yes,0,no,yes,5,2,2,1,2,23,13.0,15.333333333333334,1.5
107,17,GT3,A,no,0,no,no,4,1,4,1,1,6,5.666666666666667,12.0,1.0
108,17,GT3,T,yes,0,no,no,5,3,3,1,1,4,5.333333333333333,10.333333333333334,1.0
109,17,GT3,T,no,1,yes,yes,4,3,4,1,1,0,3.6666666666666665,12.0,1.0
110,17,GT3,T,yes,0,yes,no,5,3,3,1,1,0,8.333333333333334,11.666666666666666,1.0
111,17,GT3,T,no,0,no,no,4,4,4,1,3,4,9.333333333333334,14.666666666666666,2.0
112,17,GT3,T,yes,0,no,no,4,3,3,1,1,6,12.333333333333334,13.333333333333334,1.0
113,17,GT3,T,yes,0,yes,no,4,3,3,1,1,4,9.666666666666666,12.333333333333334,1.0
114,17,GT3,T,yes,0,no,no,5,4,5,1,2,4,10.0,12.666666666666666,1.5
115,17,GT3,T,no,0,no,yes,4,2,2,1,1,12,9.666666666666666,13.333333333333334,1.0
116,17,GT3,T,no,0,no,no,3,3,3,1,4,3,7.333333333333333,12.666666666666666,2.5
117,17,GT3,T,yes,0,no,yes,4,3,3,1,1,2,10.0,15.666666666666666,1.0
118,17,GT3,T,no,0,yes,no,5,4,2,2,3,0,16.666666666666668,17.333333333333332,2.5
119,17,GT3,T,yes,0,no,no,3,4,3,2,3,1,13.666666666666666,17.333333333333332,2.5
120,17,GT3,T,yes,0,yes,no,5,2,2,1,2,0,17.333333333333332,18.0,1.5
121,17,GT3,T,yes,0,yes,no,5,3,4,1,3,10,15.333333333333334,17.333333333333332,2.0
122,17,GT3,T,yes,0,no,yes,4,3,2,2,3,0,5.0,13.333333333333334,2.5
123,17,GT3,T,no,0,yes,no,3,2,3,1,1,4,9.333333333333334,13.333333333333334,1.0
124,17,GT3,T,yes,1,no,yes,4,4,3,3,4,28,9.333333333333334,8.333333333333334,3.5
125,17,GT3,T,yes,0,no,no,4,4,5,1,3,16,15.333333333333334,12.666666666666666,2.0
126,17,GT3,T,yes,0,no,no,4,3,3,1,1,0,13.666666666666666,16.0,1.0
127,17,GT3,T,yes,0,yes,yes,4,4,3,1,3,0,14.333333333333334,12.0,2.0
128,17,GT3,T,yes,0,no,no,4,2,2,1,2,0,15.0,17.666666666666668,1.5
129,17,GT3,T,yes,2,no,yes,3,4,5,2,4,22,5.333333333333333,10.0,3.0
130,17,GT3,T,no,0,no,yes,4,2,1,1,1,0,11.333333333333334,13.0,1.0
131,17,GT3,T,yes,1,no,no,4,2,4,2,3,24,18.0,15.0,2.5
132,17,GT3,T,yes,0,yes,no,5,4,4,1,3,7,9.333333333333334,11.333333333333334,2.0
133,17,GT3,T,yes,0,yes,no,5,4,4,1,3,7,9.333333333333334,12.666666666666666,2.0
134,17,GT3,T,yes,0,no,yes,4,3,3,1,2,4,14.0,14.666666666666666,1.5
135,17,LE3,T,yes,0,no,no,3,3,3,2,3,0,15.333333333333334,14.333333333333334,2.5
136,17,LE3,T,yes,0,no,yes,3,4,4,1,3,12,11.666666666666666,12.333333333333334,2.0
137,17,LE3,T,yes,0,no,yes,4,4,4,2,3,6,12.0,12.0,2.5
138,17,LE3,T,yes,0,yes,yes,3,4,1,1,1,0,6.333333333333333,11.0,1.0
139,17,LE3,T,yes,0,yes,yes,4,3,2,1,1,0,14.666666666666666,15.0,1.0
140,17,LE3,T,yes,0,no,no,4,4,4,1,3,2,14.666666666666666,15.0,2.0
141,17,LE3,T,yes,0,yes,yes,5,3,3,2,3,56,8.666666666666666,13.666666666666666,2.5
142,17,LE3,T,yes,0,yes,no,4,2,3,1,1,6,13.0,15.333333333333334,1.0
143,17,LE3,T,yes,0,yes,yes,3,2,3,1,2,14,13.333333333333334,12.666666666666666,1.5
144,18,GT3,A,yes,0,no,yes,4,1,1,1,1,75,9.333333333333334,10.333333333333334,1.0
145,18,GT3,T,no,3,yes,no,5,2,5,1,5,6,9.0,10.666666666666666,3.0
146,18,GT3,T,yes,0,no,yes,4,3,5,1,2,0,2.0,9.0,1.5
147,18,GT3,T,no,0,yes,no,4,4,4,1,1,0,6.333333333333333,13.666666666666666,1.0
148,18,GT3,T,yes,1,yes,yes,5,3,3,1,1,16,8.0,8.0,1.0
149,18,GT3,T,yes,0,yes,no,4,3,4,2,2,8,11.0,11.0,2.0
150,18,LE3,T,no,0,yes,no,5,2,2,1,1,1,12.0,17.333333333333332,1.0
151,18,GT3,A,no,0,no,no,4,3,4,1,1,6,5.666666666666667,7.333333333333333,1.0
152,18,GT3,T,yes,0,yes,no,5,4,4,1,1,4,9.0,12.666666666666666,1.0
153,18,GT3,T,yes,0,yes,no,5,4,4,1,1,4,9.0,14.0,1.0
154,18,GT3,T,yes,0,no,yes,4,4,4,1,1,0,2.3333333333333335,11.0,1.0
155,18,GT3,T,yes,0,yes,no,5,3,3,1,2,0,5.333333333333333,13.0,1.5
156,18,GT3,T,yes,0,no,no,4,3,3,1,2,5,18.333333333333332,18.0,1.5
157,18,GT3,T,yes,0,yes,yes,4,3,3,1,1,0,6.333333333333333,12.0,1.0
158,18,GT3,T,yes,0,no,no,4,3,3,1,2,4,10.333333333333334,12.333333333333334,1.5
159,18,GT3,T,yes,0,yes,yes,4,5,5,1,3,4,14.333333333333334,16.0,2.0
160,18,GT3,T,yes,0,no,yes,5,4,3,2,3,7,13.333333333333334,15.666666666666666,2.5
161,18,GT3,T,yes,0,yes,no,5,3,4,1,1,0,2.3333333333333335,11.0,1.0
162,18,GT3,T,yes,0,yes,yes,4,3,4,1,1,9,9.333333333333334,15.333333333333334,1.0
163,18,GT3,T,yes,0,no,no,4,3,3,1,1,0,13.666666666666666,16.666666666666668,1.0
164,18,GT3,T,yes,0,no,yes,3,1,2,1,3,21,17.666666666666668,15.0,2.0
165,18,GT3,T,yes,1,yes,yes,2,4,4,1,1,15,8.333333333333334,13.0,1.0
166,18,GT3,T,yes,0,no,no,4,4,4,3,3,2,11.0,12.0,3.0
167,18,LE3,A,yes,0,no,yes,4,2,4,1,1,14,11.0,14.666666666666666,1.0
168,18,LE3,T,no,0,no,no,4,4,3,1,1,2,11.0,13.0,1.0
169,18,LE3,T,yes,0,yes,yes,4,3,3,1,1,0,5.333333333333333,10.333333333333334,1.0
170,18,LE3,T,yes,0,no,no,5,3,3,1,1,7,16.0,14.333333333333334,1.0
171,18,LE3,T,yes,0,no,yes,4,4,5,1,2,10,8.666666666666666,13.666666666666666,1.5
172,19,GT3,T,no,3,no,no,3,4,2,1,1,2,8.0,10.0,1.0
173,19,GT3,T,yes,0,yes,no,4,3,3,1,2,10,8.0,12.0,1.5
174,19,GT3,T,yes,2,yes,no,4,3,5,3,3,15,9.0,11.666666666666666,3.0
175,19,GT3,T,yes,0,yes,no,2,3,4,2,3,0,6.333333333333333,13.333333333333334,2.5
176,15,GT3,T,yes,0,yes,yes,5,4,2,1,1,8,9.0,9.666666666666666,1.0
177,15,GT3,T,no,0,yes,no,4,4,4,1,1,2,9.0,7.666666666666667,1.0
178,15,GT3,T,no,0,no,yes,5,3,3,1,1,0,3.0,11.333333333333334,1.0
179,15,GT3,T,yes,0,yes,yes,4,5,2,1,1,0,16.333333333333332,14.0,1.0
180,15,GT3,T,yes,0,yes,yes,1,3,5,3,5,6,12.0,11.0,4.0
181,15,GT3,A,yes,0,no,yes,4,5,2,1,1,0,15.333333333333334,14.333333333333334,1.0
182,15,GT3,A,yes,0,yes,no,5,4,4,1,1,0,17.333333333333332,16.0,1.0
183,15,GT3,A,yes,0,yes,yes,1,3,3,5,5,4,12.666666666666666,11.666666666666666,5.0
184,15,GT3,T,yes,0,no,no,4,2,2,1,2,2,11.666666666666666,11.666666666666666,1.5
185,15,GT3,T,yes,0,no,no,5,4,1,1,1,0,9.0,9.666666666666666,1.0
186,15,GT3,T,yes,0,yes,no,5,5,4,1,2,6,15.0,13.333333333333334,1.5
187,15,GT3,T,yes,0,no,no,5,3,2,1,2,4,10.666666666666666,9.333333333333334,1.5
188,15,GT3,T,yes,0,yes,yes,3,2,2,1,3,2,11.333333333333334,11.333333333333334,2.0
189,15,GT3,T,yes,0,yes,no,5,5,1,1,1,0,14.666666666666666,12.333333333333334,1.0
190,15,GT3,T,yes,0,no,no,3,4,3,1,2,6,13.333333333333334,13.666666666666666,1.5
191,15,GT3,T,yes,0,no,no,5,5,5,3,2,0,12.666666666666666,9.0,2.5
192,15,GT3,T,yes,0,yes,no,3,4,3,1,1,8,10.666666666666666,11.333333333333334,1.0
193,15,GT3,T,yes,0,no,no,2,2,4,2,4,4,15.333333333333334,11.0,3.0
194,15,GT3,T,yes,0,no,no,3,3,3,1,1,0,10.0,10.0,1.0
195,15,GT3,T,no,0,no,no,4,3,3,2,2,2,14.666666666666666,12.0,2.0
196,15,GT3,T,yes,0,no,no,5,4,3,1,2,2,10.333333333333334,12.333333333333334,1.5
197,15,GT3,T,yes,0,yes,no,4,3,3,2,3,6,9.333333333333334,11.0,2.5
198,15,GT3,T,yes,0,no,no,4,4,1,1,1,0,14.0,13.0,1.0
199,15,GT3,T,yes,0,no,no,2,2,2,1,1,0,5.333333333333333,10.333333333333334,1.0
200,15,GT3,T,yes,0,no,no,5,4,2,1,1,0,14.0,11.666666666666666,1.0
201,15,GT3,T,yes,0,no,no,5,4,2,3,4,0,10.666666666666666,10.666666666666666,3.5
202,15,GT3,T,no,0,yes,no,4,4,3,1,1,2,12.666666666666666,15.666666666666666,1.0
203,15,GT3,T,yes,0,yes,no,5,3,3,1,1,4,12.333333333333334,12.333333333333334,1.0
204,15,GT3,T,yes,0,yes,no,4,3,1,1,1,0,16.666666666666668,15.0,1.0
205,15,GT3,T,yes,0,yes,no,4,3,3,1,1,2,18.333333333333332,14.666666666666666,1.0
206,15,GT3,T,no,0,yes,no,3,2,2,1,1,4,14.666666666666666,15.333333333333334,1.0
207,15,LE3,A,yes,3,no,no,4,5,5,2,5,0,9.0,11.333333333333334,3.5
208,15,LE3,A,yes,0,no,no,4,2,2,1,1,0,17.666666666666668,16.0,1.0
209,15,LE3,A,no,1,no,no,5,5,5,3,4,6,10.666666666666666,9.333333333333334,3.5
210,15,LE3,A,yes,0,yes,no,5,5,3,1,1,6,18.666666666666668,13.666666666666666,1.0
211,15,LE3,T,yes,0,yes,no,4,3,2,1,1,2,9.333333333333334,13.666666666666666,1.0
212,15,LE3,T,yes,0,yes,no,4,3,4,1,1,6,12.666666666666666,11.666666666666666,1.0
213,15,LE3,T,yes,0,yes,no,5,3,3,1,3,4,15.0,12.666666666666666,2.0
214,15,LE3,T,yes,0,yes,no,5,3,2,1,1,0,10.0,12.333333333333334,1.0
215,15,LE3,T,yes,0,no,no,3,5,2,1,1,10,18.666666666666668,17.666666666666668,1.0
216,15,LE3,T,yes,0,yes,no,5,4,3,1,1,2,16.333333333333332,14.0,1.0
217,15,LE3,T,yes,0,yes,no,4,3,3,1,3,2,14.0,12.333333333333334,2.0
218,15,LE3,T,yes,0,no,yes,5,4,3,2,4,8,12.0,10.666666666666666,3.0
219,16,GT3,A,yes,0,yes,yes,2,4,3,1,1,7,15.333333333333334,13.0,1.0
220,16,GT3,T,no,0,yes,no,3,3,2,1,3,0,8.333333333333334,13.0,2.0
221,16,GT3,T,no,0,no,no,4,2,2,1,2,2,15.666666666666666,11.0,1.5
222,16,GT3,T,yes,0,yes,no,4,3,2,3,4,8,9.0,10.333333333333334,3.5
223,16,GT3,T,yes,0,yes,yes,4,3,3,3,4,10,9.0,10.0,3.5
224,16,GT3,T,yes,0,yes,no,3,3,3,1,1,2,13.666666666666666,10.333333333333334,1.0
225,16,GT3,T,yes,0,yes,no,3,5,5,2,5,8,18.0,14.333333333333334,3.5
226,16,LE3,T,yes,0,yes,no,3,3,4,3,5,8,9.333333333333334,11.0,4.0
227,16,GT3,T,yes,0,no,no,4,3,2,2,4,0,14.333333333333334,11.333333333333334,3.0
228,16,GT3,T,yes,0,yes,yes,4,3,2,1,1,2,14.666666666666666,17.0,1.0
229,16,GT3,T,yes,0,yes,yes,3,3,3,1,2,2,11.333333333333334,10.0,1.5
230,16,GT3,T,yes,0,no,no,4,3,3,1,1,6,18.0,15.666666666666666,1.0
231,16,GT3,T,yes,0,no,no,4,3,5,2,4,4,10.0,10.0,3.0
232,16,GT3,T,yes,1,yes,no,4,4,2,1,1,12,10.333333333333334,11.0,1.0
233,16,GT3,T,yes,0,no,no,5,3,3,1,1,0,13.666666666666666,12.333333333333334,1.0
234,16,GT3,T,no,0,yes,no,5,3,2,2,2,2,12.666666666666666,13.333333333333334,2.0
235,16,GT3,T,yes,0,no,no,4,3,2,1,1,0,14.333333333333334,11.666666666666666,1.0
236,16,GT3,T,yes,0,yes,yes,5,3,3,1,3,10,10.0,12.0,2.0
237,16,GT3,T,yes,0,no,no,5,4,3,1,1,0,13.666666666666666,12.0,1.0
238,16,GT3,T,yes,0,no,no,5,3,3,1,3,6,9.0,10.0,2.0
239,16,GT3,T,yes,1,no,yes,4,5,5,4,4,4,11.333333333333334,7.0,4.0
240,16,GT3,T,yes,0,yes,no,5,4,2,1,1,0,13.333333333333334,14.333333333333334,1.0
241,16,GT3,T,yes,0,yes,no,5,3,3,1,1,2,17.333333333333332,13.666666666666666,1.0
242,16,GT3,T,yes,0,yes,no,5,3,3,1,1,2,17.333333333333332,12.0,1.0
243,16,GT3,T,yes,0,yes,yes,4,2,3,1,2,2,12.333333333333334,13.666666666666666,1.5
244,16,GT3,T,yes,0,yes,yes,4,2,3,1,2,2,12.333333333333334,12.0,1.5
245,16,GT3,T,yes,2,yes,no,3,4,5,2,4,0,3.6666666666666665,9.333333333333334,3.0
246,16,GT3,T,yes,0,yes,no,4,2,2,1,1,4,19.333333333333332,17.0,1.0
247,16,GT3,T,yes,0,yes,no,3,4,3,2,3,10,8.333333333333334,10.666666666666666,2.5
248,16,GT3,T,yes,0,yes,no,3,4,4,1,4,18,12.666666666666666,12.666666666666666,2.5
249,16,GT3,T,yes,0,yes,no,4,2,4,2,4,2,13.333333333333334,13.333333333333334,3.0
250,16,GT3,T,yes,0,yes,no,5,3,2,1,2,0,12.333333333333334,14.666666666666666,1.5
251,16,GT3,T,yes,0,yes,no,5,3,2,1,2,0,12.333333333333334,13.666666666666666,1.5
252,16,GT3,T,yes,0,yes,no,4,5,5,5,5,14,6.333333333333333,8.666666666666666,5.0
253,16,GT3,T,yes,0,yes,yes,4,4,3,1,1,0,16.666666666666668,16.0,1.0
254,16,GT3,T,yes,0,no,yes,3,3,2,2,1,0,4.333333333333333,14.666666666666666,1.5
255,16,GT3,T,yes,0,no,yes,3,3,2,2,1,0,4.333333333333333,8.666666666666666,1.5
256,16,GT3,T,yes,0,yes,no,5,4,4,1,2,2,15.333333333333334,14.666666666666666,1.5
257,16,GT3,T,yes,0,yes,no,5,4,4,1,2,2,15.333333333333334,8.666666666666666,1.5
258,16,GT3,T,yes,0,yes,yes,4,4,5,5,5,16,11.0,11.666666666666666,5.0
259,16,LE3,A,yes,0,yes,no,5,3,3,1,1,4,11.0,12.333333333333334,1.0
260,16,LE3,A,no,0,no,no,4,1,3,3,5,18,7.0,9.333333333333334,4.0
261,16,LE3,T,yes,0,no,no,3,4,2,1,1,18,7.333333333333333,9.0,1.0
262,16,LE3,T,no,1,no,yes,4,4,4,1,3,0,12.666666666666666,10.0,2.0
263,16,LE3,T,no,1,yes,yes,4,4,4,3,5,6,13.0,9.666666666666666,4.0
264,16,LE3,T,yes,0,yes,yes,4,2,3,1,2,0,15.0,14.333333333333334,1.5
265,16,LE3,T,yes,0,no,no,4,4,4,1,1,0,11.666666666666666,12.666666666666666,1.0
266,16,LE3,T,yes,0,yes,no,5,4,4,2,4,0,12.666666666666666,10.0,3.0
267,16,LE3,T,yes,2,yes,no,2,3,3,2,2,8,9.0,11.333333333333334,2.0
268,16,LE3,T,yes,0,yes,no,4,5,1,1,3,2,15.333333333333334,13.0,2.0
269,16,LE3,T,yes,0,yes,no,3,1,3,1,3,4,9.333333333333334,12.0,2.0
270,16,LE3,T,yes,0,yes,no,5,4,2,1,2,10,15.0,12.333333333333334,1.5
271,16,LE3,T,yes,0,yes,no,5,4,5,1,1,0,2.0,14.333333333333334,1.0
272,17,GT3,T,no,0,yes,yes,3,5,2,2,2,2,14.333333333333334,17.0,2.0
273,17,GT3,T,no,0,no,no,3,1,3,1,5,4,9.0,9.333333333333334,3.0
274,17,GT3,T,yes,1,yes,no,5,2,4,1,4,20,8.0,11.333333333333334,2.5
275,17,GT3,T,yes,0,no,no,4,4,2,2,4,0,10.666666666666666,12.333333333333334,3.0
276,17,GT3,T,yes,0,yes,no,4,5,2,1,1,4,11.0,12.666666666666666,1.0
277,17,GT3,T,yes,0,no,no,4,4,5,5,5,8,10.333333333333334,10.333333333333334,5.0
278,17,GT3,T,no,0,no,no,5,4,5,2,4,0,3.3333333333333335,9.666666666666666,3.0
279,17,LE3,A,yes,0,no,no,3,3,3,2,3,2,11.0,12.0,2.5
280,17,LE3,T,no,3,yes,yes,5,3,5,1,5,0,6.666666666666667,8.0,3.0
281,17,LE3,T,no,0,no,no,2,2,2,3,3,8,13.666666666666666,9.0,3.0
282,17,LE3,T,yes,2,yes,yes,3,3,2,2,2,0,4.333333333333333,8.333333333333334,2.0
